gender,ethnicity,birth,stark,star1,star2,star3,readk,read1,read2,read3,mathk,math1,math2,math3,lunchk,lunch1,lunch2,lunch3,schoolk,school1,school2,school3,degreek,degree1,degree2,degree3,ladderk,ladder1,ladder2,ladder3,experiencek,experience1,experience2,experience3,tethnicityk,tethnicity1,tethnicity2,tethnicity3,systemk,system1,system2,system3,schoolidk,schoolid1,schoolid2,schoolid3
female,afam,1979 Q3,NA,NA,NA,regular,NA,NA,NA,580,NA,NA,NA,564,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,30,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,54
female,cauc,1980 Q1,small,small,small,small,447,507,568,587,473,538,579,593,non-free,free,non-free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level1,apprentice,apprentice,7,7,3,1,cauc,cauc,cauc,cauc,30,30,30,30,63,63,63,63
female,afam,1979 Q4,small,small,regular+aide,regular+aide,450,579,588,644,536,592,579,639,non-free,NA,non-free,non-free,suburban,suburban,suburban,suburban,bachelor,master,bachelor,bachelor,level1,probation,level1,level1,21,32,4,4,cauc,afam,afam,cauc,11,11,11,11,20,20,20,20
male,cauc,1979 Q4,NA,NA,NA,small,NA,NA,NA,686,NA,NA,NA,667,NA,NA,NA,non-free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,10,NA,NA,NA,cauc,NA,NA,NA,6,NA,NA,NA,8
male,afam,1980 Q1,regular+aide,NA,NA,NA,439,NA,NA,NA,463,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,probation,NA,NA,NA,0,NA,NA,NA,cauc,NA,NA,NA,11,NA,NA,NA,19,NA,NA,NA
male,cauc,1979 Q3,NA,NA,regular,regular,NA,NA,NA,644,NA,NA,NA,648,NA,NA,non-free,non-free,NA,NA,rural,rural,NA,NA,bachelor,bachelor,NA,NA,notladder,level1,NA,NA,13,15,NA,NA,cauc,cauc,NA,NA,6,6,NA,NA,8,8
male,afam,1979 Q1,NA,NA,NA,regular+aide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,free,NA,NA,NA,inner-city,NA,NA,NA,bachelor,NA,NA,NA,notladder,NA,NA,NA,17,NA,NA,NA,afam,NA,NA,NA,11,NA,NA,NA,31
female,cauc,1979 Q4,NA,regular+aide,regular+aide,regular+aide,NA,475,573,599,NA,512,550,583,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,master,master,bachelor,NA,apprentice,level1,level3,NA,8,13,23,NA,cauc,afam,cauc,NA,4,4,4,NA,5,5,5
male,cauc,1979 Q2,NA,regular,regular,regular,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,master,bachelor,bachelor,NA,level1,level1,level1,NA,13,6,8,NA,cauc,cauc,cauc,NA,40,40,40,NA,77,77,77
male,cauc,1979 Q3,NA,regular,regular,regular,NA,651,596,626,NA,532,590,618,NA,non-free,non-free,non-free,NA,rural,rural,rural,NA,bachelor,bachelor,master,NA,level1,level1,level1,NA,7,8,8,NA,cauc,cauc,cauc,NA,21,21,21,NA,50,50,50
male,cauc,1980 Q2,regular,regular,regular,regular,448,651,614,641,559,584,639,684,non-free,non-free,non-free,non-free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,level3,level1,level1,16,11,31,7,cauc,cauc,cauc,cauc,35,35,35,35,69,69,69,69
male,cauc,1980 Q2,small,small,small,small,447,533,608,665,489,545,603,648,free,free,free,free,rural,rural,rural,rural,bachelor,master,master,bachelor,level1,level1,level1,level1,5,15,14,14,cauc,cauc,cauc,cauc,41,41,41,41,79,79,79,79
male,cauc,1980 Q2,regular,regular,regular,regular,431,558,608,597,454,553,579,589,free,NA,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,bachelor,level1,probation,level1,level1,8,0,9,8,cauc,cauc,cauc,cauc,4,4,4,4,5,5,5,5
female,afam,1980 Q2,regular+aide,regular,NA,NA,395,454,NA,NA,423,490,NA,NA,free,free,NA,NA,inner-city,inner-city,NA,NA,master,bachelor,NA,NA,level1,level1,NA,NA,17,5,NA,NA,cauc,cauc,NA,NA,11,11,NA,NA,16,16,NA,NA
female,cauc,1980 Q1,NA,NA,regular,regular,NA,NA,586,606,NA,NA,603,631,NA,NA,non-free,non-free,NA,NA,suburban,suburban,NA,NA,bachelor,master,NA,NA,level1,level1,NA,NA,4,19,NA,NA,cauc,cauc,NA,NA,17,17,NA,NA,41,41
female,cauc,1980 Q1,NA,regular,small,small,NA,505,539,597,NA,493,590,589,NA,non-free,NA,free,NA,urban,urban,urban,NA,bachelor,bachelor,bachelor,NA,level1,level1,level1,NA,17,28,13,NA,cauc,cauc,cauc,NA,20,20,20,NA,48,48,48
female,afam,1980 Q2,NA,regular,NA,NA,NA,472,NA,NA,NA,481,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,bachelor,NA,NA,NA,probation,NA,NA,NA,1,NA,NA,NA,afam,NA,NA,NA,22,NA,NA,NA,51,NA,NA
female,afam,1979 Q3,NA,NA,regular+aide,regular+aide,NA,NA,520,578,NA,NA,540,606,NA,NA,free,free,NA,NA,inner-city,inner-city,NA,NA,master,bachelor,NA,NA,NA,level1,NA,NA,2,26,NA,NA,cauc,afam,NA,NA,11,11,NA,NA,19,19
female,afam,1980 Q3,NA,NA,NA,small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,inner-city,NA,NA,NA,master,NA,NA,NA,level1,NA,NA,NA,21,NA,NA,NA,afam,NA,NA,NA,11,NA,NA,NA,15
male,afam,1980 Q2,NA,small,NA,NA,NA,571,NA,NA,NA,567,NA,NA,NA,free,NA,NA,NA,suburban,NA,NA,NA,master,NA,NA,NA,level3,NA,NA,NA,14,NA,NA,NA,cauc,NA,NA,NA,22,NA,NA,NA,51,NA,NA
female,cauc,1980 Q1,regular,regular,regular,regular,451,548,596,606,500,567,587,667,non-free,free,free,free,rural,rural,rural,rural,bachelor,bachelor,bachelor,specialist,apprentice,level1,notladder,level1,3,5,18,13,afam,cauc,cauc,cauc,24,24,41,41,56,56,78,78
male,cauc,1979 Q2,NA,regular+aide,NA,NA,NA,453,NA,NA,NA,484,NA,NA,NA,free,NA,NA,NA,rural,NA,NA,NA,bachelor,NA,NA,NA,level1,NA,NA,NA,13,NA,NA,NA,cauc,NA,NA,NA,6,NA,NA,NA,8,NA,NA
